carnegie_id,AffiliationId,year,admissions.admission_rate.overall
100663.0,32389192.0,2001,0.9098
100663.0,32389192.0,2002,0.9117
100663.0,32389192.0,2003,0.8049
100663.0,32389192.0,2004,0.8592
100663.0,32389192.0,2005,0.8769
100663.0,32389192.0,2006,0.8778
100663.0,32389192.0,2007,0.8778
100663.0,32389192.0,2008,0.851
100663.0,32389192.0,2009,0.8357
100663.0,32389192.0,2010,0.8243
100663.0,32389192.0,2011,0.7223
100663.0,32389192.0,2012,0.7223
100663.0,32389192.0,2013,0.8673
100663.0,32389192.0,2014,0.8569
100663.0,32389192.0,2015,0.6043
100663.0,32389192.0,2016,0.5814
100663.0,32389192.0,2017,0.9181
100663.0,32389192.0,2018,0.9211
100663.0,32389192.0,2019,0.7366
100663.0,32389192.0,2020,0.806
100663.0,32389192.0,2021,0.8854
100706.0,82495205.0,2001,0.8381
100706.0,82495205.0,2002,0.905
100706.0,82495205.0,2003,0.8756
100706.0,82495205.0,2004,0.8944
100706.0,82495205.0,2005,0.8716
100706.0,82495205.0,2006,0.8834
100706.0,82495205.0,2007,0.88
100706.0,82495205.0,2008,0.8917
100706.0,82495205.0,2009,0.7209
100706.0,82495205.0,2010,0.6614
100706.0,82495205.0,2011,0.6368
100706.0,82495205.0,2012,0.7766
100706.0,82495205.0,2013,0.8062
100706.0,82495205.0,2014,0.8203
100706.0,82495205.0,2015,0.812
100706.0,82495205.0,2016,0.7628
100706.0,82495205.0,2017,0.8123
100706.0,82495205.0,2018,0.8087
100706.0,82495205.0,2019,0.8257
100706.0,82495205.0,2020,0.7711
100706.0,82495205.0,2021,0.7367
100751.0,17301866.0,2001,0.7948
100751.0,17301866.0,2002,0.8462
100751.0,17301866.0,2003,0.867
100751.0,17301866.0,2004,0.771
100751.0,17301866.0,2005,0.7367
100751.0,17301866.0,2006,0.7004
100751.0,17301866.0,2007,0.6386
100751.0,17301866.0,2008,0.6039
100751.0,17301866.0,2009,0.587
100751.0,17301866.0,2010,0.5358
100751.0,17301866.0,2011,0.4353
100751.0,17301866.0,2012,0.5308
100751.0,17301866.0,2013,0.5655
100751.0,17301866.0,2014,0.5105
100751.0,17301866.0,2015,0.5359
100751.0,17301866.0,2016,0.5259
100751.0,17301866.0,2017,0.533
100751.0,17301866.0,2018,0.5906
100751.0,17301866.0,2019,0.8268
100751.0,17301866.0,2020,0.8039
100751.0,17301866.0,2021,0.789
100858.0,82497590.0,2001,0.7594
100858.0,82497590.0,2002,0.8289
100858.0,82497590.0,2003,0.776
100858.0,82497590.0,2004,0.8417
100858.0,82497590.0,2005,0.8152
100858.0,82497590.0,2006,0.7248
100858.0,82497590.0,2007,0.6897
100858.0,82497590.0,2008,0.7081
100858.0,82497590.0,2009,0.795
100858.0,82497590.0,2010,0.7867
