Name,Position,Institution,SubInstitution,Education,Other Affiliation,Career,Notes,Tel,Unnamed: 9,AffiliationId,carnegie_id,PrimarySample,FixedPosition
"Rev. Jeffrey P. von Arx, S.J",Trustee,Loyola Marymount University,,Princeton 1969 AB; Yale 1973 MA. 1975 MPhil 1980 PhD; Weston Theology 1981 MDiv,,,,,,35566140.0,117946.0,True,Regent
Walter F. Ulloa,Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
Elbridge H. Stuart III,Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
"Thomas R. Von Der Ahe, Sr",Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
"Rev. Robert W. Scholla, S.J",Secretary,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Other Board Member
"Edward P. Roski, Jr",Trustee,Loyola Marymount University,,USC 1962 BS,,,,,,35566140.0,117946.0,True,Regent
"Rev. Kevin P. Quinn, S.J",Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
Joan A. Payden,Trustee,Loyola Marymount University,,Trinity Col (DC) BA; Harvard 1981 AMP,,,,,,35566140.0,117946.0,True,Regent
Stephen F. Page,Trustee,Loyola Marymount University,,Loyola Marymount,,,,,,35566140.0,117946.0,True,Regent
"Rev. Robert B. Lawton, S.J",Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
Rosemary L. Turner,Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
"Thomas E. Larkin, Jr.",Trustee,Loyola Marymount University,,Notre Dame 1961 BA,,,,,,35566140.0,117946.0,True,Regent
"Sister Mary Genino, RSHM",Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
"Rev. Daniel K. Lahart, S.J",Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
Larry R. Carter,Trustee,Loyola Marymount University,,Arizona State 1974 BS,,,,,,35566140.0,117946.0,True,Regent
"Rudy F. deLeon, JrTrusted",Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
Deborah Lanni,Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
John F. Cosgrove,Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
"Alex Chaves, SrTrusted",Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
Bruce C. Edwards,Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
Robert C. Baker,Trustee,Loyola Marymount University,,Yale 1956 BA. 1959 LLB,,,,,,35566140.0,117946.0,True,Regent
"Sister Rita Arthur, RSHM",Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
Kathleen Hannon Aikenhead,Vice Chairman,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Board Vice President
Frederick B. Craves,Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
R. Chad Dreier,Chairman,Loyola Marymount University,,Loyola Marymount 1969 BS,,,,,,35566140.0,117946.0,True,Board President
The Honorable Irma J. Brown-Dillon,Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
George A.V. Dunning,Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
"Rev. Paul J. Fitzgerald, S.J",Trustee,Loyola Marymount University,,"Santa Clara 1980 BA; Weston Theology 1991 MDiv, 1993",,,,,,35566140.0,117946.0,True,Regent
"Rev. Robert T. Walsh, S.J",Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
Laura D. Williamson,Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
"Sister Anne Hennessy, CSJ",Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
Thomas G. Hynes,Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
Robert J. Abernethy,Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
Diane Montalto,Trustee,New Jersey Institute Of Technology,,,"Senior Director, Corporate Engineering and Facilities Management, Par Pharmaceutical Companies, Inc. bae insbi 300 Tice Boulevard, Woodcliff Lake, NJ 07677",,,,,118118575.0,185828.0,True,Overseer
Dennis M. Bone,Trustee,New Jersey Institute Of Technology,,,"President. Verizon New Jersey Inc140 West Street, New York, NY 10007",,,,,118118575.0,185828.0,True,Overseer
David J. Samuel,Trustee,New Jersey Institute Of Technology,,,"Managing Partner, CME Associates",,,,,118118575.0,185828.0,True,Overseer
Stephen P. DePalma,Vice Chairmar,New Jersey Institute Of Technology,,NJIT 1972,"President and Chief Executive Officer, Schoor DePalma",,,,,118118575.0,185828.0,True,Board Vice President
"Elizabeth ""Liz"" Garcia",Trustee,New Jersey Institute Of Technology,,,"Manager, Public Affairs, Infineum",,,,,118118575.0,185828.0,True,Overseer
"Anthony J. Knapp, Jr",Trustee,New Jersey Institute Of Technology,,,"Owner, Black Horse Inn",,,,,118118575.0,185828.0,True,Overseer
Arthur F. Powell,Trustee,New Jersey Institute Of Technology,,,"President, Powell Capital Markets, Inc",,,,,118118575.0,185828.0,True,Overseer
Peter A. Cistaro,Trustee,New Jersey Institute Of Technology,,NJIT 1968 PhD,,,,,,118118575.0,185828.0,True,Overseer
Kevin F. Toolan.V,Trustee,New Jersey Institute Of Technology,,,"President and Chairman of the Board, T&M Associates",,,,,118118575.0,185828.0,True,Overseer
James M. Burns,Vice Chairman,New Jersey Institute Of Technology,,,"Affiliation: Partner, Genova, Burns & Vernoia",,,,,118118575.0,185828.0,True,Board Vice President
Cory A. Booker,Ex Officio Trustee,New Jersey Institute Of Technology,,"Stanford 1991 BA, 1992 MA; Yale 1997 JD","Mayor, Office of the Mayor, City of Newark, New Jersey City Hall, 920 Broad Street. Room 200, Newark, NJ 07102 Tel: (973) 733-6400",,,,,118118575.0,185828.0,True,"Overseer, Ex Officio"
Philip K. Beachem,Trustee,New Jersey Institute Of Technology,,,President. New Jersey Alliance for Action,,,,,118118575.0,185828.0,True,Overseer
Jon S. Corzine,Ex Officio Trustee,New Jersey Institute Of Technology,,Illinois 1969 BA; Chicago 1973 MBA,"Governor (D), State of New Jersey P.O. Box 001, Trenton, NJ 08625 rviewoll neel, Tel: (609) 292-6000",,,,,118118575.0,185828.0,True,"Overseer, Ex Officio"
Vincent L. DeCaprio,Trustee,New Jersey Institute Of Technology,,NJIT 1972,"President, Vyteris Holdings",,,,,118118575.0,185828.0,True,Overseer
Robert A. Laudicina. wow.Ww,Governor,Rutgers State University Of New Jersey,,"Rutgers 1963 BA, 1965. MA; Columbia 1968 PhD save",,,,,,102322142.0,186380.0,True,Trustee
Eugene Michael O'Hara,Governor,Rutgers State University Of New Jersey,,Rutgers (Newark) 1962 BS,"Chief Financial Officer, Prudential Insurance Company of America",,,,,102322142.0,186380.0,True,Trustee
Richard L. McCormick,President,Rutgers State University Of New Jersey,,,,,,,,102322142.0,186380.0,True,Board President
Patricia Nachtigal,Vice Chairman,Rutgers State University Of New Jersey,,Montclair State Col 1968 BA; Rutgers (Newark) 1976 JD; NYU 1982 LLM,"Senior Vice President and General Counsel, or Ingersoll-Rand Company Limited P.O. Box 445, Montvale, NJ 07645-0445 Tel: (201) 573-3473",,,,,102322142.0,186380.0,True,Board Vice President
George R. Zoffinger,Governor,Rutgers State University Of New Jersey,,Penn State 1970 BA; NYU 1971 MA,"President and Chief Executive Officer, New Jersey Sports and Exposition Authority Capital Corporation",,,,,102322142.0,186380.0,True,Trustee
Samuel Rabinowitz,Faculty Representative Governor,Rutgers State University Of New Jersey,,,,,,,,102322142.0,186380.0,True,Other Board Member
"John F. Russo, Sr",Governor,Rutgers State University Of New Jersey,,Notre Dame 1955; Columbia 1958 JD,"Partner, Princeton Public Affairs Group, IncThe Princeton House, 160 West State Street Trenton. NJ 08608-1102 Tel: (609) 396-8838",,,,,102322142.0,186380.0,True,Trustee
Patrick M. Ryan,Governor,Rutgers State University Of New Jersey,,Notre Dame 1967,"President and Chief Executive Officer, Yardville 6 (gri National Bank; Trustee, Board of Trustees, Rutgers, The State University of New Jersey New Brunswick, NJ 08903",,,,,102322142.0,186380.0,True,Trustee
Duncan L. MacMillan,Governor,Rutgers State University Of New Jersey,,Rutgers 1966 BA; Fordham 1967 MA; NYU 1971 MBA,,,,,,102322142.0,186380.0,True,Trustee
Richard L. McCormick,Ex Officio Governor,Rutgers State University Of New Jersey,,,,,,,,102322142.0,186380.0,True,"Trustee, Ex Officio"
Rochelle Gizinski,Governor,Rutgers State University Of New Jersey,,Rutgers 1980 BA; Seton Hall 1983 JD,"Partner, Abazia & Gininski, L.L.C",,,,,102322142.0,186380.0,True,Trustee
"Albert R. Gamper, Jr.",Governor,Rutgers State University Of New Jersey,,Rutgers (Newark) 1966 BS,"Chairman and Chief Executive Officer, CIT Group Inc (2003-2004)",,,,,102322142.0,186380.0,True,Trustee
Leslie A. Fehrenbach,Secretary,Rutgers State University Of New Jersey,,,,,,,,102322142.0,186380.0,True,Other Board Member
Bruce renn,Treasurer. (Interim),Rutgers State University Of New Jersey,,,,,,,,102322142.0,186380.0,True,Other Board Member
Martha A. Cotter,Faculty Representative Governor,Rutgers State University Of New Jersey,,,,,,,,102322142.0,186380.0,True,Other Board Member
Margaret Coppolo,Student Representative Governor,Rutgers State University Of New Jersey,,Southern Illinois 1964 BA; Georgetown 1969 PhD affl,,,,,,102322142.0,186380.0,True,Other Board Member
Catherine A. Cahill,Assistant Secretary,Rutgers State University Of New Jersey,,,,,,,,102322142.0,186380.0,True,Other Board Member
Mary L. Baglivo,Governor,Rutgers State University Of New Jersey,,Rutgers 1979,"Chief Executive Officer, Americas [Director, Worldwide Marketing), Saatchi & Saatchi 375 Hudson Street, New York, NY 10014-3660",,,,,102322142.0,186380.0,True,Trustee
Leslie Eugene Goodman,Governor,Rutgers State University Of New Jersey,,"Rutgers 1965 BA, 1970 MBA; Rutgers (Camden) 1980 JD","Chair, The Eagle Group",,,,,102322142.0,186380.0,True,Trustee
"Rev. M. William Howard, Jr.",Chairman,Rutgers State University Of New Jersey,,Morehouse Col 1968 BA; Princeton Sem 1972 MDiv,"Pastor, Bethany Baptist Church 275 West Market Street, Newark, NJ 07103 Tel: (973) 623-8161",,,,,102322142.0,186380.0,True,Board President
John J. Schimpf,Trustee,Seton Hall University,,"Canisius 1966 AB; Cornell 1968 MA, 1972 PhD","Consultant and Portfolio Manager, Denholtz Associates",,,,,12524447.0,186584.0,True,Regent
Kurt T. Borowsky,Trustee,Seton Hall University,,,"Chairman, Van Beuren Management, Inc330 South Street, Morristown, NJ 07960-6020",,,,,12524447.0,186584.0,True,Regent
Dr. Phillip Frese,Trustee,Seton Hall University,,,"Executive Vice President, Operations, Catholic Health and Human Services Corporation",,,,,12524447.0,186584.0,True,Regent
Richard Mahmarian,Trustee,Seton Hall University,,,"Chief Executive Officer, REM AsSOC., LLC",,,,,12524447.0,186584.0,True,Regent
Alfred C. Koeppe,Trustee,Seton Hall University,,,"Post Office Box 2075, Morristown, NJ 07962-2075",,,,,12524447.0,186584.0,True,Regent
Patrick M. Murray,Trustee,Seton Hall University,,St Peter's Col 1969 BS; Seton Hall 1972 JD,,,,,,12524447.0,186584.0,True,Regent
Monsignor James M. Cafone,Vice Chairman,Seton Hall University,,,,,,,,12524447.0,186584.0,True,Board Vice President
Michael J. Lucciola,Trustee,Seton Hall University,,,,,,,,12524447.0,186584.0,True,Regent
Joseph P. LaSala,Trustee,Seton Hall University,,"Seton Hall BSBA, MBA","Partner, McElroy, Deutsch, Mulvaney & Carpenter, LLP",,,,,12524447.0,186584.0,True,Regent
Phil Maisano,Trustee,Seton Hall University,,Seton Hall 1965 BA; Pontifical Gregorian (Italy) DD 19,"Vice Chair and Chief Investment Officer, The Dreyfus Corporation",,,,,12524447.0,186584.0,True,Regent
Rev. Joseph Reilly,Trustee,Seton Hall University,,,,,,,,12524447.0,186584.0,True,Regent
The Most Reverend John J. Myers,Trustee,Seton Hall University,,,"Archbishop, Archdiocese of Newark",,,,,12524447.0,186584.0,True,Regent
Dr. Francis M. Lazarus.,Trustee,Seton Hall University,,,"President, University of Dallas",,,,,12524447.0,186584.0,True,Regent
Patricia Cahill,Trustee,Seton Hall University,,,"President and Chief Executive Officer, Catholic Health Initiatives",,,,,12524447.0,186584.0,True,Regent
Monsignor John Doran,Trustee,Seton Hall University,,,"Vicar General and Moderator of the Curia, Archdiocese of Newark171 Clifton Avenue, Newark, NJ 07104-0500",,,,,12524447.0,186584.0,True,Regent
"John C. Kelly, CPA.",Trustee,Seton Hall University,,,"Vice President and Controller, Wyeth",,,,,12524447.0,186584.0,True,Regent
The Most Reverend Aurthur J. Serratelli,Trustee,Seton Hall University,,Upsala BA; Seton Hall MBA,,,,,,12524447.0,186584.0,True,Regent
James J. Malespina,Trustee,Seton Hall University,,,"Vice President, Herzog, Heine, Geduld, Inc",,,,,12524447.0,186584.0,True,Regent
Pamela M. Swartzberg,Secretary,Seton Hall University,,Belmont Abbey: Iona MBA,"Chair, Womens Commission, Archdiocese of Newark",,,,,12524447.0,186584.0,True,Other Board Member
Monsignor Robert Sheeran,Trustee,Seton Hall University,,,,,,,,12524447.0,186584.0,True,Regent
Monsignor Robert Wister,Trustee,Seton Hall University,,,,,,,,12524447.0,186584.0,True,Regent
Lori L. Wagner,Board Member,Virginia Polytechnic Institute And State University,,Virginia Tech,,,,,,859038795.0,233921.0,True,Member
Philip S. Thompson,Board Member,Virginia Polytechnic Institute And State University,,,,,,,,859038795.0,233921.0,True,Member
James R. Smith,Board Member,Virginia Polytechnic Institute And State University,,Virginia Tech 1974,,,,,,859038795.0,233921.0,True,Member
Ryan C. Smith,Undergraduate Student Representative,Virginia Polytechnic Institute And State University,,,,,,,,859038795.0,233921.0,True,Other Board Member
